p (mbar),VPact (mbar),Tdew (degC),T (degC),max. wv (m/s),NSwind,EWwind,year,month,day,hour
996.84,2.93,-9.66,-8.81,0.63,-0.1755268837750014,0.03987872957150411,2009,1,1,3
997.71,2.71,-10.62,-9.67,0.5,-0.041451878627752084,0.027959645173537346,2009,1,1,6
999.69,3.13,-8.84,-7.66,0.63,-0.31479599883539827,-0.12846586751827876,2009,1,1,9
1000.3,3.27,-8.28,-6.87,2.63,-1.8345770640975334,-0.14116301175334628,2009,1,1,12
999.88,3.61,-7.0,-5.69,1.88,-0.8258697376940567,0.8287576101376987,2009,1,1,15
1000.16,3.68,-6.75,-5.25,1.0,-0.5488535900496985,-0.03549276953912681,2009,1,1,18
1000.19,3.85,-6.14,-4.8,0.75,-0.3944540293687138,-0.19495132396263912,2009,1,1,21
999.59,4.06,-5.46,-4.54,0.88,-0.37158619268502646,0.17327348731368677,2009,1,2,0
998.69,4.16,-5.15,-4.45,1.0,-0.5969901478730066,-0.2571045766659274,2009,1,2,3
998.0,4.23,-4.94,-4.43,2.13,0.6124263963258896,0.530126314271688,2009,1,2,6
998.35,4.22,-4.97,-4.13,1.88,-1.315930880527729,-0.10356600636075516,2009,1,2,9
998.91,4.37,-4.5,-3.12,2.0,-0.9267951356541545,1.2298986854728309,2009,1,2,12
998.87,4.54,-4.0,-2.12,1.0,0.4303614188695936,-0.18891545502830137,2009,1,2,15
1000.74,4.49,-4.14,-3.07,4.63,2.898924385936164,0.6458617534926786,2009,1,2,18
1002.23,4.34,-4.61,-3.49,3.88,2.403052065826049,0.6129769725929014,2009,1,2,21
1002.32,3.87,-6.09,-4.71,1.88,1.3590350054108071,0.41161129001528557,2009,1,3,0
1002.15,3.55,-7.22,-6.13,0.75,0.09819087414758203,0.4186389282354589,2009,1,3,3
1001.29,3.07,-9.05,-8.2,1.75,-0.35255220272631604,-0.31081657670211627,2009,1,3,6
1000.92,2.7,-10.69,-9.46,1.5,-0.7894177039643907,0.030326369179140715,2009,1,3,9
999.02,3.16,-8.72,-5.96,1.88,-1.0873160934749315,-0.7306460927633941,2009,1,3,12
996.91,2.89,-9.82,-0.82,2.25,-1.1708547788675232,-0.6516894097674776,2009,1,3,15
995.48,2.54,-11.44,-4.08,4.63,-1.0414774008093663,-2.9410414522075965,2009,1,3,18
994.3,3.22,-8.48,-3.15,2.0,-0.7430631098254087,-0.6235039813959431,2009,1,3,21
992.93,3.78,-6.39,-1.9,2.5,-1.2411620504879621,0.787665388619125,2009,1,4,0
991.26,4.71,-3.52,-2.2,1.88,-0.06674555447033226,0.8674358944374206,2009,1,4,3
